jy,jx,jz
1,3,49
1,4,48
1,4,49
1,4,50
1,4,51
1,4,52
1,5,47
1,5,48
1,5,49
1,5,50
1,5,51
1,5,52
1,6,47
1,6,48
1,6,49
1,6,50
1,6,51
1,6,52
1,7,6
1,7,7
1,7,8
1,7,9
1,7,10
1,7,11
1,7,47
1,7,48
1,7,49
1,7,50
1,7,51
1,7,52
1,8,5
1,8,6
1,8,7
1,8,8
1,8,9
1,8,10
1,8,11
1,8,12
1,8,13
1,8,14
1,8,16
1,8,47
1,8,48
1,8,49
1,8,50
1,8,51
1,9,5
1,9,6
1,9,7
1,9,8
1,9,9
1,9,10
1,9,11
1,9,12
1,9,13
1,9,14
1,9,15
1,9,16
1,9,48
1,9,49
1,9,50
1,9,51
1,10,6
1,10,7
1,10,8
1,10,9
1,10,10
1,10,11
1,10,12
1,10,13
1,10,14
1,10,15
1,10,16
1,11,8
1,11,9
1,11,10
1,11,11
1,11,12
1,11,13
1,11,14
1,11,15
1,11,16
1,12,9
1,12,10
1,12,11
1,12,12
1,12,13
1,12,14
1,12,15
1,12,16
1,13,11
1,13,12
1,13,13
1,13,14
1,13,15
1,13,16
2,3,47
2,3,48
2,3,49
2,3,50
2,3,51
2,3,52
2,4,10
2,4,46
2,4,47
2,4,48
2,4,49
2,4,50
2,4,51
2,4,52
2,5,4
2,5,5
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,13
2,5,15
2,5,45
2,5,46
2,5,47
2,5,48
2,5,49
2,5,50
2,5,51
2,5,52
2,6,3
2,6,4
2,6,5
2,6,6
2,6,7
2,6,8
2,6,9
2,6,10
2,6,11
2,6,12
2,6,13
2,6,14
2,6,15
2,6,16
2,6,17
2,6,44
2,6,45
2,6,46
2,6,47
2,6,48
2,6,49
2,6,50
2,6,51
2,6,52
2,7,3
2,7,4
2,7,5
2,7,6
2,7,7
2,7,8
2,7,9
2,7,10
2,7,11
2,7,12
2,7,13
2,7,14
2,7,15
2,7,16
2,7,17
2,7,18
2,7,21
2,7,22
2,7,41
2,7,42
2,7,43
2,7,44
2,7,45
2,7,46
2,7,47
2,7,48
2,7,49
2,7,50
2,7,51
2,7,52
2,8,3
2,8,4
2,8,5
2,8,6
2,8,7
2,8,8
2,8,9
2,8,10
2,8,11
2,8,12
2,8,13
2,8,14
2,8,15
2,8,16
2,8,17
2,8,18
2,8,19
2,8,20
2,8,21
2,8,22
2,8,39
2,8,40
2,8,41
2,8,42
2,8,43
2,8,44
2,8,45
2,8,46
2,8,47
2,8,48
2,8,49
2,8,50
2,8,51
2,8,52
2,9,3
2,9,4
2,9,5
2,9,6
2,9,7
2,9,8
2,9,9
2,9,10
2,9,11
2,9,12
2,9,13
2,9,14
2,9,15
2,9,16
2,9,17
2,9,18
2,9,19
2,9,20
2,9,21
2,9,22
2,9,39
2,9,40
2,9,41
2,9,42
2,9,46
2,9,47
2,9,48
2,9,49
2,9,50
2,9,51
2,9,52
2,9,53
2,10,5
2,10,6
2,10,7
2,10,8
2,10,9
2,10,10
2,10,11
2,10,12
2,10,13
2,10,14
2,10,15
2,10,16
2,10,17
2,10,18
2,10,19
2,10,20
2,10,21
2,10,22
2,10,25
2,10,39
2,10,40
2,10,41
2,10,42
2,10,47
2,10,48
2,10,49
2,10,50
2,10,51
2,10,52
2,10,53
2,11,6
2,11,7
2,11,8
2,11,9
2,11,10
2,11,11
2,11,12
2,11,13
2,11,14
2,11,15
2,11,16
2,11,17
2,11,18
2,11,19
2,11,20
2,11,21
2,11,22
2,11,49
2,11,50
2,11,51
2,11,52
2,12,7
2,12,8
2,12,9
2,12,10
2,12,11
2,12,12
2,12,13
2,12,14
2,12,15
2,12,16
2,12,17
2,12,18
2,12,19
2,12,20
2,12,21
2,12,22
2,13,8
2,13,9
2,13,10
2,13,11
2,13,12
2,13,13
2,13,14
2,13,15
2,13,16
2,13,17
2,13,18
2,13,19
2,13,20
2,14,9
2,14,10
2,14,11
2,14,12
2,14,13
2,14,14
2,14,15
2,14,16
2,14,17
2,14,18
2,14,19
2,15,14
2,15,15
2,15,16
2,15,18
3,2,42
3,2,45
3,2,46
3,2,47
3,2,48
3,2,49
3,2,50
3,2,51
3,3,42
3,3,44
3,3,45
3,3,46
3,3,47
3,3,48
3,3,49
3,3,50
3,3,51
3,3,52
3,4,3
3,4,4
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,12
3,4,13
3,4,14
3,4,15
3,4,16
3,4,17
3,4,27
3,4,38
3,4,39
3,4,40
3,4,41
3,4,42
3,4,43
3,4,44
3,4,45
3,4,46
3,4,47
3,4,48
3,4,49
3,4,50
3,4,51
3,4,52
3,5,3
3,5,4
3,5,5
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,17
3,5,18
3,5,20
3,5,21
3,5,22
3,5,23
3,5,27
3,5,38
3,5,39
3,5,40
3,5,41
3,5,42
3,5,43
3,5,44
3,5,45
3,5,46
3,5,47
3,5,48
3,5,49
3,5,50
3,5,51
3,5,52
3,6,1
3,6,2
3,6,3
3,6,4
3,6,5
3,6,6
3,6,7
3,6,8
3,6,9
3,6,10
3,6,11
3,6,12
3,6,13
3,6,14
3,6,15
3,6,16
3,6,17
3,6,18
3,6,19
3,6,20
3,6,21
3,6,22
3,6,23
3,6,24
3,6,25
3,6,27
3,6,37
3,6,38
3,6,39
3,6,40
3,6,41
3,6,42
3,6,43
3,6,44
3,6,45
3,6,46
3,6,47
3,6,48
3,6,49
3,6,50
3,6,51
3,6,52
3,7,2
3,7,3
3,7,4
3,7,5
3,7,6
3,7,7
3,7,8
3,7,9
3,7,10
3,7,11
3,7,12
3,7,13
3,7,14
3,7,15
3,7,16
3,7,17
3,7,18
3,7,19
3,7,20
3,7,21
3,7,22
3,7,23
3,7,24
3,7,25
3,7,27
3,7,37
3,7,38
3,7,39
3,7,40
3,7,41
3,7,42
3,7,43
3,7,44
3,7,45
3,7,46
3,7,47
3,7,48
3,7,49
3,7,50
3,7,51
3,7,52
3,8,3
3,8,4
3,8,5
3,8,6
3,8,7
3,8,8
3,8,9
3,8,10
3,8,11
3,8,12
3,8,13
3,8,14
3,8,15
3,8,16
3,8,17
3,8,18
3,8,19
3,8,20
3,8,21
3,8,22
3,8,23
3,8,24
3,8,25
3,8,27
3,8,37
3,8,38
3,8,39
3,8,40
3,8,41
3,8,42
3,8,43
3,8,44
3,8,45
3,8,46
3,8,47
3,8,48
3,8,49
3,8,50
3,8,51
3,8,52
3,9,3
3,9,4
3,9,5
3,9,6
3,9,7
3,9,8
3,9,9
3,9,10
3,9,11
3,9,12
3,9,13
3,9,14
3,9,15
3,9,16
3,9,17
3,9,18
3,9,19
3,9,20
3,9,21
3,9,22
3,9,23
3,9,24
3,9,37
3,9,38
3,9,39
3,9,40
3,9,41
3,9,42
3,9,43
3,9,44
3,9,45
3,9,46
3,9,47
3,9,48
3,9,49
3,9,50
3,9,51
3,9,52
3,9,53
3,10,5
3,10,6
3,10,7
3,10,8
3,10,9
3,10,10
3,10,11
3,10,12
3,10,13
3,10,14
3,10,15
3,10,16
